,hour,day_of_week,predicted_util,kWhDelivered,session_count,tariff_multiplier,old_price,new_price,period,kWhDelivered_adj,sessions_old,sessions_new,util_after,revenue_old,revenue_new,revenue_diff
0,0,0,0.8472232163100553,1028.5712946266367,105,1.4180580407751382,15.0,21.270870611627075,Off-Peak,899.5705445578889,105,92,0.7409666729371174,15428.569419399551,19134.648659321763,3706.079239922212
1,0,1,0.8232310004161447,1172.9711048446795,123,1.3580775010403618,15.0,20.371162515605427,Off-Peak,1046.966736240079,123,110,0.7347968505937537,17594.56657267019,21327.92953237965,3733.3629597094587
2,0,2,0.8476980345351105,1014.9948578255458,116,1.4192450863377761,15.0,21.288676295066644,Off-Peak,887.3353757851048,116,101,0.7410800638319999,15224.922867383186,18890.195580250413,3665.272712867227
3,0,3,0.8005949154220967,803.2878912783752,97,1.3014872885552418,15.0,19.522309328328625,Off-Peak,730.6335647971428,97,88,0.7281841583375804,12049.31836917563,14263.654457629256,2214.336088453627
4,0,4,0.8309969007130991,1192.1971021893917,126,1.3774922517827477,15.0,20.662383776741216,Off-Peak,1057.1835515870896,126,112,0.7368884333306974,17882.956532840875,21843.93226535074,3960.9757325098653
5,0,5,0.7741458795419522,1288.5340177120604,128,1.0,15.0,15.0,Off-Peak,1288.5340177120604,128,128,0.7741458795419522,19328.010265680907,19328.010265680907,0.0
6,0,6,0.8276030251689088,751.504,67,1.369007562922272,15.0,20.53511344383408,Off-Peak,668.3108021300983,67,60,0.7359854925535051,11272.56,13723.83813748132,2451.2781374813203
7,1,0,0.8568923454236788,836.6847610513726,87,1.442230863559197,15.0,21.633462953387955,Off-Peak,725.6824137294019,87,75,0.743209072855485,12550.271415770589,15699.023613340167,3148.752197569578
8,1,1,0.8541811946879063,1132.5737516666666,132,1.4354529867197658,15.0,21.531794800796487,Off-Peak,984.6189648135685,132,115,0.7425944689598943,16988.606275,21200.613507338414,4212.007232338416
9,1,2,0.8252541043236666,1252.1553838112284,155,1.3631352608091665,15.0,20.447028912137498,Off-Peak,1115.7448522490606,155,138,0.7353504450014438,18782.330757168427,22813.66725250512,4031.3364953366945
10,1,3,0.8268970205571909,1626.0888255675031,175,1.3672425513929773,15.0,20.50863827089466,Off-Peak,1446.938122839597,175,156,0.7357954890865888,24391.33238351255,29674.730561684642,5283.398178172094
11,1,4,0.8602687586252779,1350.3165138649908,156,1.4506718965631946,15.0,21.76007844844792,Off-Peak,1167.7516025857499,156,135,0.7439590727241621,20254.747707974864,25410.366480566696,5155.618772591832
12,1,5,0.7754432217266818,1240.2782079062108,109,1.0,15.0,15.0,Off-Peak,1240.2782079062108,109,109,0.7754432217266818,18604.173118593164,18604.173118593164,0.0
13,1,6,0.8314320268796657,542.5077399701345,63,1.3785800671991641,15.0,20.678701007987463,Off-Peak,480.8929549739464,63,56,0.7370029490973733,8137.616099552017,9944.241632753816,1806.625533201799
14,2,0,0.8205965212017223,620.3519755077701,66,1.3514913030043059,15.0,20.27236954506459,Off-Peak,554.9374782500138,66,59,0.7340667590583242,9305.279632616552,11249.897633490522,1944.6180008739702
